dateTime,date,measure,station,label,stationReference,parameter,qualifier,datumType,period,unitName,valueType,value,severityLevel
2024-01-05T00:00:00Z,2024-01-05,http://environment.data.gov.uk/flood-monitoring/id/measures/2904TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2904TH,Shepperton Lock,2904TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900,mASD,instantaneous,0.443,3
2024-01-05T00:15:00Z,2024-01-05,http://environment.data.gov.uk/flood-monitoring/id/measures/2904TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2904TH,Shepperton Lock,2904TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900,mASD,instantaneous,0.428,3
2024-01-05T00:30:00Z,2024-01-05,http://environment.data.gov.uk/flood-monitoring/id/measures/2904TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2904TH,Shepperton Lock,2904TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900,mASD,instantaneous,0.418,3
2024-01-05T00:45:00Z,2024-01-05,http://environment.data.gov.uk/flood-monitoring/id/measures/2904TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2904TH,Shepperton Lock,2904TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900,mASD,instantaneous,0.44,3
2024-01-05T01:00:00Z,2024-01-05,http://environment.data.gov.uk/flood-monitoring/id/measures/2904TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2904TH,Shepperton Lock,2904TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900,mASD,instantaneous,0.437,3
2024-01-05T01:15:00Z,2024-01-05,http://environment.data.gov.uk/flood-monitoring/id/measures/2904TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2904TH,Shepperton Lock,2904TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900,mASD,instantaneous,0.444,3
2024-01-05T01:30:00Z,2024-01-05,http://environment.data.gov.uk/flood-monitoring/id/measures/2904TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2904TH,Shepperton Lock,2904TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900,mASD,instantaneous,0.454,3
2024-01-05T01:45:00Z,2024-01-05,http://environment.data.gov.uk/flood-monitoring/id/measures/2904TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2904TH,Shepperton Lock,2904TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900,mASD,instantaneous,0.444,3
2024-01-05T02:00:00Z,2024-01-05,http://environment.data.gov.uk/flood-monitoring/id/measures/2904TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2904TH,Shepperton Lock,2904TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900,mASD,instantaneous,0.452,3
2024-01-05T02:15:00Z,2024-01-05,http://environment.data.gov.uk/flood-monitoring/id/measures/2904TH-level-stage-i-15_min-mASD,http://environment.data.gov.uk/flood-monitoring/id/stations/2904TH,Shepperton Lock,2904TH,level,Stage,http://environment.data.gov.uk/flood-monitoring/def/core/datumASD,900,mASD,instantaneous,0.449,3
